instrument,timeframe,file,row_count,start_utc,end_utc,rows_before_cleaning,duplicates_collapsed,null_price_rows_dropped,ohlc_invalid_rows_dropped,volume_null_count,weekday_gap_count,largest_weekday_gap_hours,suspicious_gaps_over_72h,file_size_bytes,sha256
EURUSD,D1,data/EURUSD_D1.parquet,5016,2010-07-20T00:00:00+00:00,2026-07-31T00:00:00+00:00,5016,0,0,0,0,836,72.0,0,260549,817b9cc1615de9efabff64f8f00400ff008525f6f1821b130dcada4c9999e7fa
EURUSD,H1,data/EURUSD_H1.parquet,100000,2010-07-20T10:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,853,73.0,4,3032765,b38bb15fb68013601118c5594610d6e22bab28dbdb4af6c979d41b649e18aac1
EURUSD,H4,data/EURUSD_H4.parquet,25850,2010-07-20T00:00:00+00:00,2026-07-31T20:00:00+00:00,25850,0,0,0,0,851,72.0,0,1107081,b8fd363a9eac28debc9fb7802957c62580213bbccf9e2fa06f3647f98e6a6474
EURUSD,M1,data/EURUSD_M1.parquet,100000,2026-04-27T01:48:00+00:00,2026-07-31T20:59:00+00:00,100000,0,0,0,0,367,48.08,0,1694393,0ec3af8ab15b97803372c94c36ec1e046d9fa13b86bc823d02d4359ed5491c16
EURUSD,M15,data/EURUSD_M15.parquet,100000,2022-07-28T05:00:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,225,72.25,1,2398823,83c9c9070325c05541de2ecb41fb159fa3734304d93e61cc8c9a69b9c855cae2
EURUSD,M30,data/EURUSD_M30.parquet,100000,2018-07-24T19:30:00+00:00,2026-07-31T20:30:00+00:00,100000,0,0,0,0,431,72.5,2,2521812,8511508cfce7dc92e1e9e81731057cd92cb4bae98997617104148d6e338500a3
EURUSD,M5,data/EURUSD_M5.parquet,100000,2025-03-31T22:15:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,92,49.08,0,1974268,aee71c03fa8955f4b18558dfb3c5c1b07907b0965551a2d5be999a5615dfaa28
USDCAD,H1,data/USDCAD_H1.parquet,100000,2010-07-19T20:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,854,73.0,4,2882743,770138fd82b9bd98d16220d4248f8e336231d078336c368add43bf298fd36d19
USDCAD,H4,data/USDCAD_H4.parquet,25851,2010-07-19T08:00:00+00:00,2026-07-31T20:00:00+00:00,25851,0,0,0,0,852,72.0,0,1069492,56c87758ae8ce9ecc1799140d4cae1f578a0f03f289f621f01bcef15c29a405b
USDCAD,M15,data/USDCAD_M15.parquet,100000,2022-07-27T23:15:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,226,72.25,1,2180828,826bec50b6c37affb9ca886eb2c97f97894e50c1d9596aa07dc11e000740b7da
USDCAD,M5,data/USDCAD_M5.parquet,100000,2025-03-31T22:50:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,86,49.08,0,1871083,86ce0f4360f68bf5415c6c1f066d4f9d42841270d65ce3d7bf5bb5fe1d992805
USDCHF,H1,data/USDCHF_H1.parquet,100000,2010-07-19T23:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,855,73.0,4,2506831,847dc27d64d421a6206706636ab33689a650fbd022d890ca6f2c516be01c3c19
USDCHF,H4,data/USDCHF_H4.parquet,25852,2010-07-19T08:00:00+00:00,2026-07-31T20:00:00+00:00,25852,0,0,0,0,851,72.0,0,936110,09dd08cc938b884ab8cfa8c371dffd309165e443a36a4bea66cb35fe7fe9820a
USDCHF,M15,data/USDCHF_M15.parquet,100000,2022-07-27T16:15:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,230,72.25,1,2387567,93dcbfd3c8dbc4081638035e69cb1ed66496924cbcb67e70f3405a6a9d9193f5
USDCHF,M5,data/USDCHF_M5.parquet,100000,2025-03-31T21:20:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,91,49.08,0,1915227,269173f91b7156e41df924ef3124067620a4a917eb202c6707def4b41f34de49
USDJPY,H1,data/USDJPY_H1.parquet,100000,2010-07-19T09:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,857,73.0,4,2783838,db007300ec6e95ca94647b455991e72cf99ce6efa81830ae736c46c84f04f71f
USDJPY,H4,data/USDJPY_H4.parquet,25853,2010-07-19T00:00:00+00:00,2026-07-31T20:00:00+00:00,25853,0,0,0,0,852,72.0,0,932316,dbd967e1421527adc1b106fafa611f70e69cdaae1810bd71e9cb0b04e4a9d763
USDJPY,M15,data/USDJPY_M15.parquet,100000,2022-07-28T05:45:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,220,72.25,1,2317524,ff9fc5bd8c3f69a740f04aac69a6d8aaa3b8a79ff51f7174545e9973c9adf445
USDJPY,M5,data/USDJPY_M5.parquet,100000,2025-03-31T23:20:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,88,49.08,0,2035284,bb162e639973aa88315ab2b81b70d50a799b33ae0da6864535a754b0ba5ca352
